MimarksSFoodHumanFoods	MIXS:0010008_0016022	None with environmental package None	FoodHumanFoods	MimarksS
MimsFoodHumanFoods	MIXS:0010007_0016022	None with environmental package None	FoodHumanFoods	Mims
MisagFoodHumanFoods	MIXS:0010010_0016022	None with environmental package None	FoodHumanFoods	Misag
MiuvigFoodHumanFoods	MIXS:0010012_0016022	None with environmental package None	FoodHumanFoods	Miuvig
MigsBaHostAssociated	MIXS:0010003_0016002	None with environmental package None	HostAssociated	MigsBa
MigsEuHostAssociated	MIXS:0010002_0016002	None with environmental package None	HostAssociated	MigsEu
MigsOrgHostAssociated	MIXS:0010006_0016002	None with environmental package None	HostAssociated	MigsOrg
MigsPlHostAssociated	MIXS:0010004_0016002	None with environmental package None	HostAssociated	MigsPl
MigsViHostAssociated	MIXS:0010005_0016002	None with environmental package None	HostAssociated	MigsVi
MimagHostAssociated	MIXS:0010011_0016002	None with environmental package None	HostAssociated	Mimag
MimarksCHostAssociated	MIXS:0010009_0016002	None with environmental package None	HostAssociated	MimarksC
MimarksSHostAssociated	MIXS:0010008_0016002	None with environmental package None	HostAssociated	MimarksS
MimsHostAssociated	MIXS:0010007_0016002	None with environmental package None	HostAssociated	Mims
MisagHostAssociated	MIXS:0010010_0016002	None with environmental package None	HostAssociated	Misag
MiuvigHostAssociated	MIXS:0010012_0016002	None with environmental package None	HostAssociated	Miuvig
MigsBaHumanAssociated	MIXS:0010003_0016003	None with environmental package None	HumanAssociated	MigsBa
MigsEuHumanAssociated	MIXS:0010002_0016003	None with environmental package None	HumanAssociated	MigsEu
MigsOrgHumanAssociated	MIXS:0010006_0016003	None with environmental package None	HumanAssociated	MigsOrg
MigsPlHumanAssociated	MIXS:0010004_0016003	None with environmental package None	HumanAssociated	MigsPl
MigsViHumanAssociated	MIXS:0010005_0016003	None with environmental package None	HumanAssociated	MigsVi
MimagHumanAssociated	MIXS:0010011_0016003	None with environmental package None	HumanAssociated	Mimag
MimarksCHumanAssociated	MIXS:0010009_0016003	None with environmental package None	HumanAssociated	MimarksC
MimarksSHumanAssociated	MIXS:0010008_0016003	None with environmental package None	HumanAssociated	MimarksS
MimsHumanAssociated	MIXS:0010007_0016003	None with environmental package None	HumanAssociated	Mims
MisagHumanAssociated	MIXS:0010010_0016003	None with environmental package None	HumanAssociated	Misag
MiuvigHumanAssociated	MIXS:0010012_0016003	None with environmental package None	HumanAssociated	Miuvig
MigsBaHumanGut	MIXS:0010003_0016004	None with environmental package None	HumanGut	MigsBa
MigsEuHumanGut	MIXS:0010002_0016004	None with environmental package None	HumanGut	MigsEu
MigsOrgHumanGut	MIXS:0010006_0016004	None with environmental package None	HumanGut	MigsOrg
MigsPlHumanGut	MIXS:0010004_0016004	None with environmental package None	HumanGut	MigsPl
MigsViHumanGut	MIXS:0010005_0016004	None with environmental package None	HumanGut	MigsVi
MimagHumanGut	MIXS:0010011_0016004	None with environmental package None	HumanGut	Mimag
MimarksCHumanGut	MIXS:0010009_0016004	None with environmental package None	HumanGut	MimarksC
MimarksSHumanGut	MIXS:0010008_0016004	None with environmental package None	HumanGut	MimarksS
MimsHumanGut	MIXS:0010007_0016004	None with environmental package None	HumanGut	Mims
MisagHumanGut	MIXS:0010010_0016004	None with environmental package None	HumanGut	Misag
MiuvigHumanGut	MIXS:0010012_0016004	None with environmental package None	HumanGut	Miuvig
MigsBaHumanOral	MIXS:0010003_0016005	None with environmental package None	HumanOral	MigsBa
MigsEuHumanOral	MIXS:0010002_0016005	None with environmental package None	HumanOral	MigsEu
MigsOrgHumanOral	MIXS:0010006_0016005	None with environmental package None	HumanOral	MigsOrg
MigsPlHumanOral	MIXS:0010004_0016005	None with environmental package None	HumanOral	MigsPl
MigsViHumanOral	MIXS:0010005_0016005	None with environmental package None	HumanOral	MigsVi
MimagHumanOral	MIXS:0010011_0016005	None with environmental package None	HumanOral	Mimag
MimarksCHumanOral	MIXS:0010009_0016005	None with environmental package None	HumanOral	MimarksC
MimarksSHumanOral	MIXS:0010008_0016005	None with environmental package None	HumanOral	MimarksS
MimsHumanOral	MIXS:0010007_0016005	None with environmental package None	HumanOral	Mims
MisagHumanOral	MIXS:0010010_0016005	None with environmental package None	HumanOral	Misag
MiuvigHumanOral	MIXS:0010012_0016005	None with environmental package None	HumanOral	Miuvig
MigsBaHumanSkin	MIXS:0010003_0016006	None with environmental package None	HumanSkin	MigsBa
MigsEuHumanSkin	MIXS:0010002_0016006	None with environmental package None	HumanSkin	MigsEu
MigsOrgHumanSkin	MIXS:0010006_0016006	None with environmental package None	HumanSkin	MigsOrg
MigsPlHumanSkin	MIXS:0010004_0016006	None with environmental package None	HumanSkin	MigsPl
MigsViHumanSkin	MIXS:0010005_0016006	None with environmental package None	HumanSkin	MigsVi
MimagHumanSkin	MIXS:0010011_0016006	None with environmental package None	HumanSkin	Mimag
MimarksCHumanSkin	MIXS:0010009_0016006	None with environmental package None	HumanSkin	MimarksC
MimarksSHumanSkin	MIXS:0010008_0016006	None with environmental package None	HumanSkin	MimarksS
MimsHumanSkin	MIXS:0010007_0016006	None with environmental package None	HumanSkin	Mims
MisagHumanSkin	MIXS:0010010_0016006	None with environmental package None	HumanSkin	Misag
MiuvigHumanSkin	MIXS:0010012_0016006	None with environmental package None	HumanSkin	Miuvig
MigsBaHumanVaginal	MIXS:0010003_0016007	None with environmental package None	HumanVaginal	MigsBa
MigsEuHumanVaginal	MIXS:0010002_0016007	None with environmental package None	HumanVaginal	MigsEu
MigsOrgHumanVaginal	MIXS:0010006_0016007	None with environmental package None	HumanVaginal	MigsOrg
MigsPlHumanVaginal	MIXS:0010004_0016007	None with environmental package None	HumanVaginal	MigsPl
MigsViHumanVaginal	MIXS:0010005_0016007	None with environmental package None	HumanVaginal	MigsVi
MimagHumanVaginal	MIXS:0010011_0016007	None with environmental package None	HumanVaginal	Mimag
MimarksCHumanVaginal	MIXS:0010009_0016007	None with environmental package None	HumanVaginal	MimarksC
MimarksSHumanVaginal	MIXS:0010008_0016007	None with environmental package None	HumanVaginal	MimarksS
MimsHumanVaginal	MIXS:0010007_0016007	None with environmental package None	HumanVaginal	Mims
MisagHumanVaginal	MIXS:0010010_0016007	None with environmental package None	HumanVaginal	Misag
MiuvigHumanVaginal	MIXS:0010012_0016007	None with environmental package None	HumanVaginal	Miuvig
MigsBaHydrocarbonResourcesCores	MIXS:0010003_0016015	None with environmental package None	HydrocarbonResourcesCores	MigsBa
MigsEuHydrocarbonResourcesCores	MIXS:0010002_0016015	None with environmental package None	HydrocarbonResourcesCores	MigsEu
MigsOrgHydrocarbonResourcesCores	MIXS:0010006_0016015	None with environmental package None	HydrocarbonResourcesCores	MigsOrg
MigsPlHydrocarbonResourcesCores	MIXS:0010004_0016015	None with environmental package None	HydrocarbonResourcesCores	MigsPl
MigsViHydrocarbonResourcesCores	MIXS:0010005_0016015	None with environmental package None	HydrocarbonResourcesCores	MigsVi
MimagHydrocarbonResourcesCores	MIXS:0010011_0016015	None with environmental package None	HydrocarbonResourcesCores	Mimag
MimarksCHydrocarbonResourcesCores	MIXS:0010009_0016015	None with environmental package None	HydrocarbonResourcesCores	MimarksC
MimarksSHydrocarbonResourcesCores	MIXS:0010008_0016015	None with environmental package None	HydrocarbonResourcesCores	MimarksS
MimsHydrocarbonResourcesCores	MIXS:0010007_0016015	None with environmental package None	HydrocarbonResourcesCores	Mims
MisagHydrocarbonResourcesCores	MIXS:0010010_0016015	None with environmental package None	HydrocarbonResourcesCores	Misag
MiuvigHydrocarbonResourcesCores	MIXS:0010012_0016015	None with environmental package None	HydrocarbonResourcesCores	Miuvig
MigsBaHydrocarbonResourcesFluidsSwabs	MIXS:0010003_0016016	None with environmental package None	HydrocarbonResourcesFluidsSwabs	MigsBa
MigsEuHydrocarbonResourcesFluidsSwabs	MIXS:0010002_0016016	None with environmental package None	HydrocarbonResourcesFluidsSwabs	MigsEu
MigsOrgHydrocarbonResourcesFluidsSwabs	MIXS:0010006_0016016	None with environmental package None	HydrocarbonResourcesFluidsSwabs	MigsOrg
MigsPlHydrocarbonResourcesFluidsSwabs	MIXS:0010004_0016016	None with environmental package None	HydrocarbonResourcesFluidsSwabs	MigsPl
MigsViHydrocarbonResourcesFluidsSwabs	MIXS:0010005_0016016	None with environmental package None	HydrocarbonResourcesFluidsSwabs	MigsVi
MimagHydrocarbonResourcesFluidsSwabs	MIXS:0010011_0016016	None with environmental package None	HydrocarbonResourcesFluidsSwabs	Mimag
MimarksCHydrocarbonResourcesFluidsSwabs	MIXS:0010009_0016016	None with environmental package None	HydrocarbonResourcesFluidsSwabs	MimarksC
MimarksSHydrocarbonResourcesFluidsSwabs	MIXS:0010008_0016016	None with environmental package None	HydrocarbonResourcesFluidsSwabs	MimarksS
MimsHydrocarbonResourcesFluidsSwabs	MIXS:0010007_0016016	None with environmental package None	HydrocarbonResourcesFluidsSwabs	Mims
MisagHydrocarbonResourcesFluidsSwabs	MIXS:0010010_0016016	None with environmental package None	HydrocarbonResourcesFluidsSwabs	Misag
MiuvigHydrocarbonResourcesFluidsSwabs	MIXS:0010012_0016016	None with environmental package None	HydrocarbonResourcesFluidsSwabs	Miuvig
MigsBaMicrobialMatBiofilm	MIXS:0010003_0016008	None with environmental package None	MicrobialMatBiofilm	MigsBa
MigsEuMicrobialMatBiofilm	MIXS:0010002_0016008	None with environmental package None	MicrobialMatBiofilm	MigsEu
MigsOrgMicrobialMatBiofilm	MIXS:0010006_0016008	None with environmental package None	MicrobialMatBiofilm	MigsOrg
MigsPlMicrobialMatBiofilm	MIXS:0010004_0016008	None with environmental package None	MicrobialMatBiofilm	MigsPl
MigsViMicrobialMatBiofilm	MIXS:0010005_0016008	None with environmental package None	MicrobialMatBiofilm	MigsVi
MimagMicrobialMatBiofilm	MIXS:0010011_0016008	None with environmental package None	MicrobialMatBiofilm	Mimag
MimarksCMicrobialMatBiofilm	MIXS:0010009_0016008	None with environmental package None	MicrobialMatBiofilm	MimarksC
MimarksSMicrobialMatBiofilm	MIXS:0010008_0016008	None with environmental package None	MicrobialMatBiofilm	MimarksS
MimsMicrobialMatBiofilm	MIXS:0010007_0016008	None with environmental package None	MicrobialMatBiofilm	Mims
MisagMicrobialMatBiofilm	MIXS:0010010_0016008	None with environmental package None	MicrobialMatBiofilm	Misag
MiuvigMicrobialMatBiofilm	MIXS:0010012_0016008	None with environmental package None	MicrobialMatBiofilm	Miuvig
MigsBaMiscellaneousNaturalOrArtificialEnvironment	MIXS:0010003_0016009	None with environmental package None	MiscellaneousNaturalOrArtificialEnvironment	MigsBa
MigsEuMiscellaneousNaturalOrArtificialEnvironment	MIXS:0010002_0016009	None with environmental package None	MiscellaneousNaturalOrArtificialEnvironment	MigsEu
MigsOrgMiscellaneousNaturalOrArtificialEnvironment	MIXS:0010006_0016009	None with environmental package None	MiscellaneousNaturalOrArtificialEnvironment	MigsOrg
MigsPlMiscellaneousNaturalOrArtificialEnvironment	MIXS:0010004_0016009	None with environmental package None	MiscellaneousNaturalOrArtificialEnvironment	MigsPl
MigsViMiscellaneousNaturalOrArtificialEnvironment	MIXS:0010005_0016009	None with environmental package None	MiscellaneousNaturalOrArtificialEnvironment	MigsVi
MimagMiscellaneousNaturalOrArtificialEnvironment	MIXS:0010011_0016009	None with environmental package None	MiscellaneousNaturalOrArtificialEnvironment	Mimag
MimarksCMiscellaneousNaturalOrArtificialEnvironment	MIXS:0010009_0016009	None with environmental package None	MiscellaneousNaturalOrArtificialEnvironment	MimarksC
MimarksSMiscellaneousNaturalOrArtificialEnvironment	MIXS:0010008_0016009	None with environmental package None	MiscellaneousNaturalOrArtificialEnvironment	MimarksS
MimsMiscellaneousNaturalOrArtificialEnvironment	MIXS:0010007_0016009	None with environmental package None	MiscellaneousNaturalOrArtificialEnvironment	Mims
MisagMiscellaneousNaturalOrArtificialEnvironment	MIXS:0010010_0016009	None with environmental package None	MiscellaneousNaturalOrArtificialEnvironment	Misag
MiuvigMiscellaneousNaturalOrArtificialEnvironment	MIXS:0010012_0016009	None with environmental package None	MiscellaneousNaturalOrArtificialEnvironment	Miuvig
MigsBaPlantAssociated	MIXS:0010003_0016010	None with environmental package None	PlantAssociated	MigsBa
MigsEuPlantAssociated	MIXS:0010002_0016010	None with environmental package None	PlantAssociated	MigsEu
MigsOrgPlantAssociated	MIXS:0010006_0016010	None with environmental package None	PlantAssociated	MigsOrg
MigsPlPlantAssociated	MIXS:0010004_0016010	None with environmental package None	PlantAssociated	MigsPl
MigsViPlantAssociated	MIXS:0010005_0016010	None with environmental package None	PlantAssociated	MigsVi
MimagPlantAssociated	MIXS:0010011_0016010	None with environmental package None	PlantAssociated	Mimag
MimarksCPlantAssociated	MIXS:0010009_0016010	None with environmental package None	PlantAssociated	MimarksC
MimarksSPlantAssociated	MIXS:0010008_0016010	None with environmental package None	PlantAssociated	MimarksS
MimsPlantAssociated	MIXS:0010007_0016010	None with environmental package None	PlantAssociated	Mims
MisagPlantAssociated	MIXS:0010010_0016010	None with environmental package None	PlantAssociated	Misag
MiuvigPlantAssociated	MIXS:0010012_0016010	None with environmental package None	PlantAssociated	Miuvig
MigsBaSediment	MIXS:0010003_0016011	None with environmental package None	Sediment	MigsBa
MigsEuSediment	MIXS:0010002_0016011	None with environmental package None	Sediment	MigsEu
MigsOrgSediment	MIXS:0010006_0016011	None with environmental package None	Sediment	MigsOrg
MigsPlSediment	MIXS:0010004_0016011	None with environmental package None	Sediment	MigsPl
MigsViSediment	MIXS:0010005_0016011	None with environmental package None	Sediment	MigsVi
MimagSediment	MIXS:0010011_0016011	None with environmental package None	Sediment	Mimag
MimarksCSediment	MIXS:0010009_0016011	None with environmental package None	Sediment	MimarksC
MimarksSSediment	MIXS:0010008_0016011	None with environmental package None	Sediment	MimarksS
MimsSediment	MIXS:0010007_0016011	None with environmental package None	Sediment	Mims
MisagSediment	MIXS:0010010_0016011	None with environmental package None	Sediment	Misag
MiuvigSediment	MIXS:0010012_0016011	None with environmental package None	Sediment	Miuvig
MigsBaSoil	MIXS:0010003_0016012	None with environmental package None	Soil	MigsBa
MigsEuSoil	MIXS:0010002_0016012	None with environmental package None	Soil	MigsEu
MigsOrgSoil	MIXS:0010006_0016012	None with environmental package None	Soil	MigsOrg
MigsPlSoil	MIXS:0010004_0016012	None with environmental package None	Soil	MigsPl
MigsViSoil	MIXS:0010005_0016012	None with environmental package None	Soil	MigsVi
MimagSoil	MIXS:0010011_0016012	None with environmental package None	Soil	Mimag
MimarksCSoil	MIXS:0010009_0016012	None with environmental package None	Soil	MimarksC
MimarksSSoil	MIXS:0010008_0016012	None with environmental package None	Soil	MimarksS
MimsSoil	MIXS:0010007_0016012	None with environmental package None	Soil	Mims
MisagSoil	MIXS:0010010_0016012	None with environmental package None	Soil	Misag
MiuvigSoil	MIXS:0010012_0016012	None with environmental package None	Soil	Miuvig
MigsBaSymbiontAssociated	MIXS:0010003_0016023	None with environmental package None	SymbiontAssociated	MigsBa
MigsEuSymbiontAssociated	MIXS:0010002_0016023	None with environmental package None	SymbiontAssociated	MigsEu
MigsOrgSymbiontAssociated	MIXS:0010006_0016023	None with environmental package None	SymbiontAssociated	MigsOrg
MigsPlSymbiontAssociated	MIXS:0010004_0016023	None with environmental package None	SymbiontAssociated	MigsPl
MigsViSymbiontAssociated	MIXS:0010005_0016023	None with environmental package None	SymbiontAssociated	MigsVi
MimagSymbiontAssociated	MIXS:0010011_0016023	None with environmental package None	SymbiontAssociated	Mimag
MimarksCSymbiontAssociated	MIXS:0010009_0016023	None with environmental package None	SymbiontAssociated	MimarksC
MimarksSSymbiontAssociated	MIXS:0010008_0016023	None with environmental package None	SymbiontAssociated	MimarksS
MimsSymbiontAssociated	MIXS:0010007_0016023	None with environmental package None	SymbiontAssociated	Mims
MisagSymbiontAssociated	MIXS:0010010_0016023	None with environmental package None	SymbiontAssociated	Misag
MiuvigSymbiontAssociated	MIXS:0010012_0016023	None with environmental package None	SymbiontAssociated	Miuvig
MigsBaWastewaterSludge	MIXS:0010003_0016013	None with environmental package None	WastewaterSludge	MigsBa
MigsEuWastewaterSludge	MIXS:0010002_0016013	None with environmental package None	WastewaterSludge	MigsEu
MigsOrgWastewaterSludge	MIXS:0010006_0016013	None with environmental package None	WastewaterSludge	MigsOrg
