class	Structured comment name	Preferred unit	Frequency
host-associated	samp_vol_we_dna_ext	millliter, gram, milligram, square centimeter	0.8181818181818182
human-associated	samp_vol_we_dna_ext	millliter, gram, milligram, square centimeter	0.8181818181818182
human-gut	samp_vol_we_dna_ext	millliter, gram, milligram, square centimeter	0.8181818181818182
human-oral	samp_vol_we_dna_ext	millliter, gram, milligram, square centimeter	0.8181818181818182
human-skin	samp_vol_we_dna_ext	millliter, gram, milligram, square centimeter	0.8181818181818182
human-vaginal	samp_vol_we_dna_ext	millliter, gram, milligram, square centimeter	0.8181818181818182
hydrocarbon resources-cores	samp_vol_we_dna_ext	millliter, gram, milligram, square centimeter	0.8181818181818182
hydrocarbon resources-fluids/swabs	samp_vol_we_dna_ext	millliter, gram, milligram, square centimeter	0.8181818181818182
microbial mat/biofilm	samp_vol_we_dna_ext	millliter, gram, milligram, square centimeter	0.8181818181818182
migs_ba	samp_vol_we_dna_ext	millliter, gram, milligram, square centimeter	0.8181818181818182
migs_eu	samp_vol_we_dna_ext	millliter, gram, milligram, square centimeter	0.8181818181818182
migs_org	samp_vol_we_dna_ext	millliter, gram, milligram, square centimeter	0.8181818181818182
migs_pl	samp_vol_we_dna_ext	millliter, gram, milligram, square centimeter	0.8181818181818182
migs_vi	samp_vol_we_dna_ext	millliter, gram, milligram, square centimeter	0.8181818181818182
mimag	samp_vol_we_dna_ext	millliter, gram, milligram, square centimeter	0.8181818181818182
mimarks_c	samp_vol_we_dna_ext	millliter, gram, milligram, square centimeter	0.8181818181818182
mimarks_s	samp_vol_we_dna_ext	millliter, gram, milligram, square centimeter	0.8181818181818182
mims	samp_vol_we_dna_ext	millliter, gram, milligram, square centimeter	0.8181818181818182
misag	samp_vol_we_dna_ext	millliter, gram, milligram, square centimeter	0.8181818181818182
miscellaneous natural or artificial environment	samp_vol_we_dna_ext	millliter, gram, milligram, square centimeter	0.8181818181818182
miuvig	samp_vol_we_dna_ext	millliter, gram, milligram, square centimeter	0.8181818181818182
plant-associated	samp_vol_we_dna_ext	millliter, gram, milligram, square centimeter	0.8181818181818182
sediment	samp_vol_we_dna_ext	millliter, gram, milligram, square centimeter	0.8181818181818182
soil	samp_vol_we_dna_ext	millliter, gram, milligram, square centimeter	0.8181818181818182
wastewater/sludge	samp_vol_we_dna_ext	millliter, gram, milligram, square centimeter	0.8181818181818182
water	samp_vol_we_dna_ext	millliter, gram, milligram, square centimeter	0.8181818181818182
food-farm environment	soil_conductivity	milliSiemens per centimeter	0.5
agriculture	soil_conductivity		0.5
agriculture	tot_nitro	microgram per liter, micromole per liter	0.2
hydrocarbon resources-cores	tot_nitro	microgram per liter, micromole per liter, milligram per liter	0.8
hydrocarbon resources-fluids/swabs	tot_nitro	microgram per liter, micromole per liter, milligram per liter	0.8
wastewater/sludge	tot_nitro	microgram per liter, micromole per liter, milligram per liter	0.8
water	tot_nitro	microgram per liter, micromole per liter, milligram per liter	0.8
microbial mat/biofilm	tot_nitro_content	microgram per liter, micromole per liter, milligram per liter	0.75
