name	title	slot_uri	comments	description	examples	in_subset	keywords	multivalued	pattern	range	recommended	required	string_serialization	structured_pattern	Expected_value	Preferred_unit
hall_count	hallway/corridor count	MIXS:0000228		The total count of hallways and corridors in the built structure			corridor|count|hallway			integer						
handidness	handidness	MIXS:0000809		The handidness of the individual sampled	{'value': 'right handedness'}					HandidnessEnum						
heat_cool_type	heating and cooling system type	MIXS:0000766		Methods of conditioning or heating a room or building	{'value': 'heat pump'}		type	True		HeatCoolTypeEnum		True				
heat_deliv_loc	heating delivery locations	MIXS:0000810		The location of heat delivery within the room	{'value': 'north'}		delivery|location|locations			CompassDirections8Enum						
heat_sys_deliv_meth	heating system delivery method	MIXS:0000812		The method by which the heat is delivered through the system	{'value': 'radiant'}		delivery|method			HeatSysDelivMethEnum						
heat_system_id	heating system identifier	MIXS:0000833		The heating system identifier			identifier			integer						
height_carper_fiber	height carpet fiber mat	MIXS:0000167		The average carpet fiber height in the indoor environment			height			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		centimeter
indoor_space	indoor space	MIXS:0000763		A distinguishable space within a structure, the purpose for which discrete areas of a building is used	{'value': 'foyer'}		indoor			IndoorSpaceEnum		True				
indoor_surf	indoor surface	MIXS:0000764		Type of indoor surface	{'value': 'wall'}		indoor|surface			IndoorSurfEnum	True	True				
inside_lux	inside lux light	MIXS:0000168		The recorded value at sampling time (power density)			inside|light			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		kilowatt per square metre
int_wall_cond	interior wall condition	MIXS:0000813		The physical condition of the wall at the time of sampling; photos or video preferred; use drawings to indicate location of damaged areas	{'value': 'damaged'}		condition|interior|wall			DamagedEnum						
last_clean	last time swept/mopped/vacuumed	MIXS:0000814		The last time the floor was cleaned (swept, mopped, vacuumed)	{'value': '2013-03-25T12:42:31+01:00'}		time			datetime						
light_type	light type	MIXS:0000769		Application of light to achieve some practical or aesthetic effect. Lighting includes the use of both artificial light sources such as lamps and light fixtures, as well as natural illumination by capturing daylight. Can also include absence of light	{'value': 'desk lamp'}		light|type	True		LightTypeEnum		True				
max_occup	maximum occupancy	MIXS:0000229		The maximum amount of people allowed in the indoor environment			maximum			string				{'syntax': '^{integer} {text}$', 'interpolated': True, 'partial_match': True}		
mech_struc	mechanical structure	MIXS:0000815		mechanical structure: a moving structure	{'value': 'elevator'}					MechStrucEnum						
