old_name	new_name
microbial mat_biofilm MIGS eukaryote	MigsEuMicrobialMatBiofilm
microbial mat_biofilm MIGS org	MigsOrgMicrobialMatBiofilm
microbial mat_biofilm MIGS plant	MigsPlMicrobialMatBiofilm
microbial mat_biofilm MIGS virus	MigsViMicrobialMatBiofilm
microbial mat_biofilm MIMAG	MimagMicrobialMatBiofilm
microbial mat_biofilm MIMARKS specimen	MimarksCMicrobialMatBiofilm
microbial mat_biofilm MIMARKS survey	MimarksSMicrobialMatBiofilm
microbial mat_biofilm MIMS	MimsMicrobialMatBiofilm
microbial mat_biofilm MISAG	MisagMicrobialMatBiofilm
microbial mat_biofilm MIUVIG	MiuvigMicrobialMatBiofilm
miscellaneous natural or artificial environment	MiscellaneousNaturalOrArtificialEnvironment
miscellaneous natural or artificial environment MIGS bacteria	MigsBaMiscellaneousNaturalOrArtificialEnvironment
miscellaneous natural or artificial environment MIGS eukaryote	MigsEuMiscellaneousNaturalOrArtificialEnvironment
miscellaneous natural or artificial environment MIGS org	MigsOrgMiscellaneousNaturalOrArtificialEnvironment
miscellaneous natural or artificial environment MIGS plant	MigsPlMiscellaneousNaturalOrArtificialEnvironment
miscellaneous natural or artificial environment MIGS virus	MigsViMiscellaneousNaturalOrArtificialEnvironment
miscellaneous natural or artificial environment MIMAG	MimagMiscellaneousNaturalOrArtificialEnvironment
miscellaneous natural or artificial environment MIMARKS specimen	MimarksCMiscellaneousNaturalOrArtificialEnvironment
miscellaneous natural or artificial environment MIMARKS survey	MimarksSMiscellaneousNaturalOrArtificialEnvironment
miscellaneous natural or artificial environment MIMS	MimsMiscellaneousNaturalOrArtificialEnvironment
miscellaneous natural or artificial environment MISAG	MisagMiscellaneousNaturalOrArtificialEnvironment
miscellaneous natural or artificial environment MIUVIG	MiuvigMiscellaneousNaturalOrArtificialEnvironment
plant-associated	PlantAssociated
plant-associated MIGS bacteria	MigsBaPlantAssociated
plant-associated MIGS eukaryote	MigsEuPlantAssociated
plant-associated MIGS org	MigsOrgPlantAssociated
plant-associated MIGS plant	MigsPlPlantAssociated
plant-associated MIGS virus	MigsViPlantAssociated
plant-associated MIMAG	MimagPlantAssociated
plant-associated MIMARKS specimen	MimarksCPlantAssociated
plant-associated MIMARKS survey	MimarksSPlantAssociated
plant-associated MIMS	MimsPlantAssociated
plant-associated MISAG	MisagPlantAssociated
plant-associated MIUVIG	MiuvigPlantAssociated
sediment	Sediment
sediment MIGS bacteria	MigsBaSediment
sediment MIGS eukaryote	MigsEuSediment
sediment MIGS org	MigsOrgSediment
sediment MIGS plant	MigsPlSediment
sediment MIGS virus	MigsViSediment
sediment MIMAG	MimagSediment
sediment MIMARKS specimen	MimarksCSediment
sediment MIMARKS survey	MimarksSSediment
sediment MIMS	MimsSediment
sediment MISAG	MisagSediment
sediment MIUVIG	MiuvigSediment
soil	Soil
soil MIGS bacteria	MigsBaSoil
soil MIGS eukaryote	MigsEuSoil
soil MIGS org	MigsOrgSoil
soil MIGS plant	MigsPlSoil
soil MIGS virus	MigsViSoil
soil MIMAG	MimagSoil
soil MIMARKS specimen	MimarksCSoil
soil MIMARKS survey	MimarksSSoil
soil MIMS	MimsSoil
soil MISAG	MisagSoil
soil MIUVIG	MiuvigSoil
symbiont-associated	SymbiontAssociated
symbiont-associated MIGS bacteria	MigsBaSymbiontAssociated
symbiont-associated MIGS eukaryote	MigsEuSymbiontAssociated
symbiont-associated MIGS org	MigsOrgSymbiontAssociated
symbiont-associated MIGS plant	MigsPlSymbiontAssociated
symbiont-associated MIGS virus	MigsViSymbiontAssociated
symbiont-associated MIMAG	MimagSymbiontAssociated
symbiont-associated MIMARKS specimen	MimarksCSymbiontAssociated
symbiont-associated MIMARKS survey	MimarksSSymbiontAssociated
symbiont-associated MIMS	MimsSymbiontAssociated
symbiont-associated MISAG	MisagSymbiontAssociated
symbiont-associated MIUVIG	MiuvigSymbiontAssociated
wastewater_sludge	WastewaterSludge
wastewater_sludge MIGS bacteria	MigsBaWastewaterSludge
wastewater_sludge MIGS eukaryote	MigsEuWastewaterSludge
wastewater_sludge MIGS org	MigsOrgWastewaterSludge
wastewater_sludge MIGS plant	MigsPlWastewaterSludge
wastewater_sludge MIGS virus	MigsViWastewaterSludge
wastewater_sludge MIMAG	MimagWastewaterSludge
wastewater_sludge MIMARKS specimen	MimarksCWastewaterSludge
wastewater_sludge MIMARKS survey	MimarksSWastewaterSludge
wastewater_sludge MIMS	MimsWastewaterSludge
wastewater_sludge MISAG	MisagWastewaterSludge
wastewater_sludge MIUVIG	MiuvigWastewaterSludge
water	Water
water MIGS bacteria	MigsBaWater
water MIGS eukaryote	MigsEuWater
water MIGS org	MigsOrgWater
water MIGS plant	MigsPlWater
water MIGS virus	MigsViWater
water MIMAG	MimagWater
water MIMARKS specimen	MimarksCWater
water MIMARKS survey	MimarksSWater
water MIMS	MimsWater
water MISAG	MisagWater
water MIUVIG	MiuvigWater
