enum	permissible_value	meaning	description	comments	suspect	single	in_subset
FaoClassEnum	Solonetz				FALSE	FALSE	packages_tab_conflict_defer_to_soil
FaoClassEnum	Vertisols				FALSE	FALSE	packages_tab_conflict_defer_to_soil
FaoClassEnum	Yermosols				FALSE	FALSE	packages_tab_conflict_defer_to_soil
TillageEnum	chisel				FALSE	FALSE	packages_tab_conflict_defer_to_soil
TillageEnum	cutting disc				FALSE	FALSE	packages_tab_conflict_defer_to_soil
TillageEnum	disc plough				FALSE	FALSE	packages_tab_conflict_defer_to_soil
TillageEnum	drill				FALSE	FALSE	packages_tab_conflict_defer_to_soil
TillageEnum	mouldboard				FALSE	FALSE	packages_tab_conflict_defer_to_soil
TillageEnum	ridge till				FALSE	FALSE	packages_tab_conflict_defer_to_soil
TillageEnum	strip tillage				FALSE	FALSE	packages_tab_conflict_defer_to_soil
TillageEnum	tined				FALSE	FALSE	packages_tab_conflict_defer_to_soil
TillageEnum	zonal tillage				FALSE	FALSE	packages_tab_conflict_defer_to_soil
AeroStrucEnum	glider				FALSE	FALSE	packages_tab_no_conflict
AeroStrucEnum	plane				FALSE	FALSE	packages_tab_no_conflict
AnimalBodyCondEnum	normal				FALSE	FALSE	packages_tab_no_conflict
AnimalBodyCondEnum	over conditioned				FALSE	FALSE	packages_tab_no_conflict
AnimalBodyCondEnum	under conditioned				FALSE	FALSE	packages_tab_no_conflict
AnimalSexEnum	castrated female				FALSE	FALSE	packages_tab_no_conflict
AnimalSexEnum	castrated male				FALSE	FALSE	packages_tab_no_conflict
AnimalSexEnum	intact female				FALSE	FALSE	packages_tab_no_conflict
AnimalSexEnum	intact male				FALSE	FALSE	packages_tab_no_conflict
ArchStrucEnum	building				FALSE	FALSE	packages_tab_no_conflict
ArchStrucEnum	home				FALSE	FALSE	packages_tab_no_conflict
ArchStrucEnum	shed				FALSE	FALSE	packages_tab_no_conflict
BuildDocsEnum	building information model				FALSE	FALSE	packages_tab_no_conflict
BuildDocsEnum	commissioning report				FALSE	FALSE	packages_tab_no_conflict
BuildDocsEnum	complaint logs				FALSE	FALSE	packages_tab_no_conflict
BuildDocsEnum	contract administration				FALSE	FALSE	packages_tab_no_conflict
BuildDocsEnum	cost estimate				FALSE	FALSE	packages_tab_no_conflict
BuildDocsEnum	janitorial schedules or logs				FALSE	FALSE	packages_tab_no_conflict
BuildDocsEnum	maintenance plans				FALSE	FALSE	packages_tab_no_conflict
BuildDocsEnum	schedule				FALSE	FALSE	packages_tab_no_conflict
BuildDocsEnum	sections				FALSE	FALSE	packages_tab_no_conflict
BuildDocsEnum	shop drawings				FALSE	FALSE	packages_tab_no_conflict
BuildDocsEnum	submittals				FALSE	FALSE	packages_tab_no_conflict
BuildDocsEnum	ventilation system				FALSE	FALSE	packages_tab_no_conflict
BuildDocsEnum	windows				FALSE	FALSE	packages_tab_no_conflict
BuildOccupTypeEnum	airport				FALSE	FALSE	packages_tab_no_conflict
BuildOccupTypeEnum	commercial				FALSE	FALSE	packages_tab_no_conflict
BuildOccupTypeEnum	health care				FALSE	FALSE	packages_tab_no_conflict
BuildOccupTypeEnum	high rise				FALSE	FALSE	packages_tab_no_conflict
BuildOccupTypeEnum	low rise				FALSE	FALSE	packages_tab_no_conflict
BuildOccupTypeEnum	market				FALSE	FALSE	packages_tab_no_conflict
BuildOccupTypeEnum	office				FALSE	FALSE	packages_tab_no_conflict
BuildOccupTypeEnum	residence				FALSE	FALSE	packages_tab_no_conflict
BuildOccupTypeEnum	residential				FALSE	FALSE	packages_tab_no_conflict
BuildOccupTypeEnum	restaurant				FALSE	FALSE	packages_tab_no_conflict
BuildOccupTypeEnum	school				FALSE	FALSE	packages_tab_no_conflict
BuildOccupTypeEnum	sports complex				FALSE	FALSE	packages_tab_no_conflict
BuildOccupTypeEnum	wood framed				FALSE	FALSE	packages_tab_no_conflict
BuildingSettingEnum	exurban				FALSE	FALSE	packages_tab_no_conflict
BuildingSettingEnum	rural				FALSE	FALSE	packages_tab_no_conflict
BuildingSettingEnum	suburban				FALSE	FALSE	packages_tab_no_conflict
BuildingSettingEnum	urban				FALSE	FALSE	packages_tab_no_conflict
BuiltStrucSetEnum	rural				FALSE	FALSE	packages_tab_no_conflict
BuiltStrucSetEnum	urban				FALSE	FALSE	packages_tab_no_conflict
CeilCondEnum	damaged				FALSE	FALSE	packages_tab_no_conflict
CeilCondEnum	needs repair				FALSE	FALSE	packages_tab_no_conflict
CeilCondEnum	new				FALSE	FALSE	packages_tab_no_conflict
CeilCondEnum	rupture				FALSE	FALSE	packages_tab_no_conflict
CeilCondEnum	visible wear				FALSE	FALSE	packages_tab_no_conflict
CeilFinishMatEnum	drywall				FALSE	FALSE	packages_tab_no_conflict
CeilFinishMatEnum	fiberglass				FALSE	FALSE	packages_tab_no_conflict
CeilFinishMatEnum	metal				FALSE	FALSE	packages_tab_no_conflict
CeilFinishMatEnum	mineral fibre				FALSE	FALSE	packages_tab_no_conflict
CeilFinishMatEnum	mineral wool/calcium silicate				FALSE	FALSE	packages_tab_no_conflict
CeilFinishMatEnum	plasterboard				FALSE	FALSE	packages_tab_no_conflict
CeilFinishMatEnum	PVC				FALSE	FALSE	packages_tab_no_conflict
CeilFinishMatEnum	stucco				FALSE	FALSE	packages_tab_no_conflict
CeilFinishMatEnum	tiles				FALSE	FALSE	packages_tab_no_conflict
CeilFinishMatEnum	wood				FALSE	FALSE	packages_tab_no_conflict
CeilStrucEnum	concrete				FALSE	FALSE	packages_tab_no_conflict
CeilStrucEnum	wood frame				FALSE	FALSE	packages_tab_no_conflict
CeilTextureEnum	crows feet				FALSE	FALSE	packages_tab_no_conflict
CeilTextureEnum	crows-foot stomp				FALSE	FALSE	packages_tab_no_conflict
CeilTextureEnum	double skip				FALSE	FALSE	packages_tab_no_conflict
CeilTextureEnum	hawk and trowel				FALSE	FALSE	packages_tab_no_conflict
CeilTextureEnum	knockdown				FALSE	FALSE	packages_tab_no_conflict
CeilTextureEnum	orange peel				FALSE	FALSE	packages_tab_no_conflict
CeilTextureEnum	popcorn				FALSE	FALSE	packages_tab_no_conflict
CeilTextureEnum	rosebud stomp				FALSE	FALSE	packages_tab_no_conflict
CeilTextureEnum	Santa-Fe texture				FALSE	FALSE	packages_tab_no_conflict
CeilTextureEnum	skip trowel				FALSE	FALSE	packages_tab_no_conflict
CeilTextureEnum	smooth				FALSE	FALSE	packages_tab_no_conflict
CeilTextureEnum	stomp knockdown				FALSE	FALSE	packages_tab_no_conflict
CeilTextureEnum	swirl				FALSE	FALSE	packages_tab_no_conflict
CeilTypeEnum	barrel-shaped				FALSE	FALSE	packages_tab_no_conflict
CeilTypeEnum	cathedral				FALSE	FALSE	packages_tab_no_conflict
CeilTypeEnum	coffered				FALSE	FALSE	packages_tab_no_conflict
CeilTypeEnum	concave				FALSE	FALSE	packages_tab_no_conflict
CeilTypeEnum	cove				FALSE	FALSE	packages_tab_no_conflict
CeilTypeEnum	dropped				FALSE	FALSE	packages_tab_no_conflict
