enum	permissible_values	suspect	single	source
source_uvig_enum	viral fraction RNA metagenome (RNA virome)	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
source_uvig_enum	viral fraction metagenome (virome)	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
source_uvig_enum	viral single amplified genome (vSAG)	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
annot_enum	{text}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
assembly_name_enum	{text} {text}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
encoded_traits_enum	{text}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
host_pred_est_acc_enum	{text}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
lib_screen_enum	{text}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
lib_vector_enum	{text}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
pathogenicity_enum	{text}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
pos_cont_type_enum	{term} or {text}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
project_name_enum	{text}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
propagation_enum	{text}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
samp_mat_process_enum	{text}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
samp_name_enum	{text}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
single_cell_lysis_prot_enum	{text}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
source_mat_id_enum	{text}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
specific_host_enum	{NCBI taxid}	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
specific_host_enum	{text}	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
target_gene_enum	{text}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
target_subfragment_enum	{text}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
tax_class_enum	{text}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
wga_amp_kit_enum	{text}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
tax_ident_enum	16S rRNA gene	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
tax_ident_enum	multi-marker approach	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
tax_ident_enum	other	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
trophic_level_enum	autotroph	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
trophic_level_enum	autotroph	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
trophic_level_enum	carboxydotroph	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
trophic_level_enum	chemoautolithotroph	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
